Both handed,Left handed,Right handed
2,27,4
160,16,138
36,6,28
35,414,10
246,75,6
17,108,7
5,61,15
4,7,58
32,9,86
3,5,91
2,9,28
21,63,9
17,185,6
74,21,63
122,41,8
27,37,12
21,10,5
29,7,159
8,61,22
4,67,21
6,149,1
27,22,4
13,31,3
26,86,1
163,11,442
7,65,102
43,9,60
53,7,17
20,30,87
5,30,27
16,42,24
14,220,144
13,14,6
4,11,46
5,102,9
27,54,77
30,25,66
15,12,30
33,118,18
13,20,33
6,130,2
93,103,20
3,24,50
11,26,18
59,121,78
42,42,4
35,14,46
14,5,47
6,7,4
5,12,160
153,46,71
17,147,78
21,12,15
5,36,16
8,165,39
42,3,210
27,24,15
3,92,156
2,56,20
248,51,16
7,41,18
16,33,38
5,306,8
23,390,18
64,118,2
314,241,91
160,9,54
93,50,6
90,30,121
6,197,44
24,22,98
1,19,342
6,6,170
72,292,34
15,7,31
13,200,1
45,27,49
65,42,58
14,219,101
70,77,7
9,16,4
2,29,38
31,9,2
,7,9
,73,1
,164,21
,4,40
,255,12
,12,40
,98,121
,100,122
,91,40
,1,379
,13,23
,6,191
,61,49
,153,65
,14,30
,452,14
,84,2
,91,50
,17,65
,3,12
,100,173
,96,43
,36,113
,116,9
,40,17
,63,12
,80,348
,14,22
,53,24
,39,26
,131,1
,52,124
,174,42
,188,25
,12,2
,146,3
,27,166
,31,242
,77,76
,41,79
,32,4
,8,27
,200,23
,30,70
,40,22
,16,267
,82,6
,139,195
,20,234
,162,4
,123,166
,14,31
,203,113
,26,5
,35,20
,18,39
,13,29
,86,12
,2,58
,235,14
,1,77
,21,2
,14,59
,113,7
,563,2
,7,6
,12,2
,72,28
,34,112
,268,56
,106,86
,12,13
,12,23
,52,240
,6,134
,20,108
,121,6
,1,5
,112,256
,133,2
,17,1
,86,9
,19,20
,19,19
,15,34
,5,122
,30,18
,31,7
,7,5
,8,207
,90,15
,99,338
,27,6
,6,15
,36,18
,252,26
,130,68
,80,193
,8,55
,2,23
,76,7
,45,2
,7,13
,123,5
,9,20
,96,102
,110,37
,34,43
,8,20
,23,11
,80,16
,339,64
,153,4
,24,6
,33,65
,219,32
,5,60
,24,79
,24,39
,2,10
,147,30
,16,56
,75,11
,8,27
,37,13
,81,66
,55,10
,90,21
,5,2
,33,32
,475,11
,13,39
,87,1
,52,7
,139,13
,6,25
,54,109
,134,16
,14,4
,18,17
,15,95
,31,73
,182,5
,7,27
,4,31
,2,25
,85,12
,62,77
,68,26
,21,4
,32,7
,18,68
,166,17
,12,13
,130,23
,208,160
,95,11
,241,22
,62,22
,7,2
,13,13
,26,13
,30,13
,9,271
,25,11
,20,268
,10,10
,12,10
,28,7
,7,24
,13,41
,,15
,,20
,,66
,,19
,,196
,,159
,,29
,,218
,,14
,,9
,,33
,,3
,,10
,,117
,,23
,,18
,,22
,,272
,,11
,,17
,,81
,,242
,,6
,,16
,,6
,,38
,,40
,,37
,,80
,,20
,,15
,,1
,,201
,,127
,,2
,,245
,,77
,,307
,,26
,,76
,,82
,,44
,,38
,,48
,,23
,,36
,,40
,,56
,,12
,,85
,,44
,,80
,,14
,,27
,,12
,,8
,,61
,,7
,,69
,,14
,,27
,,84
,,224
,,26
,,52
,,41
,,130
,,3
,,32
,,107
,,24
,,21
,,10
,,121
,,78
,,10
,,57
,,13
,,14
,,7
,,7
,,1
,,22
,,2
,,6
,,39
,,5
,,3
,,215
,,93
,,25
,,389
,,49
,,31
,,45
,,37
,,8
,,14
,,20
,,7
,,5
,,130
,,189
,,19
,,8
,,25
,,163
,,105
,,50
,,10
,,4
,,15
,,354
,,20
,,8
,,20
,,9
,,1
,,199
,,11
,,31
,,6
,,237
,,41
,,20
,,28
,,138
,,7
,,34
,,22
,,1
,,146
,,111
,,204
,,36
,,12
,,83
,,1
,,9
,,34
,,251
,,325
,,102
,,98
,,21
,,5
,,27
,,57
,,5
,,6
,,55
,,253
,,94
,,115
,,102
,,5
,,46
,,46
,,23
,,8
,,81
,,6
,,21
,,155
,,117
,,78
,,3
,,36
,,5
,,18
,,69
,,31
,,22
,,116
,,5
,,78
,,1
,,65
,,12
,,66
,,61
,,136
,,123
,,351
,,17
,,3
,,35
,,17
,,1
,,33
,,20
,,91
,,7
,,95
,,155
,,6
,,1
,,291
,,6
,,151
,,1
,,548
,,29
,,79
,,12
,,3
,,73
,,9
,,252
,,51
,,148
,,61
,,41
,,14
,,16
,,2
,,25
,,332
,,9
,,45
,,101
,,21
,,61
,,4
,,31
,,28
,,29
,,11
,,4
,,14
,,25
,,112
,,3
,,176
,,179
,,382
,,1
,,22
,,39
,,14
,,3
,,118
,,316
,,3
,,59
,,46
,,201
,,14
,,16
,,200
,,11
,,34
,,30
,,43
,,22
,,10
,,68
,,8
,,13
,,36
,,122
,,4
,,3
,,24
,,26
,,4
,,19
,,184
,,131
,,30
,,32
,,9
,,14
,,7
,,86
,,38
,,166
,,1
,,26
,,109
