Both handed,Left handed,Right handed
2,27,0
0,16,4
0,0,138
36,6,28
0,0,10
0,75,6
35,0,0
0,108,0
17,0,7
5,0,15
4,61,58
32,7,86
0,0,0
3,9,91
2,5,28
21,9,9
0,63,6
0,0,63
17,185,8
74,21,12
122,41,5
27,37,159
21,0,0
29,0,22
8,0,21
4,10,1
0,7,0
6,61,4
27,67,3
0,149,1
13,22,0
26,31,102
0,86,60
0,0,0
7,11,0
43,65,17
53,9,0
20,0,0
5,7,87
0,0,0
0,30,27
16,30,24
14,42,144
13,14,6
0,0,0
4,11,46
5,102,9
27,0,77
0,54,66
30,25,0
15,12,30
0,118,18
0,20,33
0,130,2
33,0,20
13,103,50
6,0,18
93,24,78
3,26,4
11,0,46
59,121,47
42,0,4
35,42,160
14,14,0
6,5,71
5,7,0
153,12,0
17,46,0
21,147,78
5,12,15
8,0,0
42,36,0
27,165,0
3,3,16
2,0,39
0,0,15
7,24,156
16,92,20
5,56,0
23,0,16
64,51,0
93,41,18
90,33,0
6,0,0
24,118,0
1,9,38
6,50,0
72,30,8
15,0,18
13,197,2
45,22,91
65,19,54
14,6,6
70,7,0
9,200,121
2,27,44
31,0,98
0,42,170
,219,34
,0,0
,77,31
,16,1
,29,49
,9,58
,7,101
,73,7
,164,4
,4,38
,0,2
,12,9
,98,1
,100,21
,91,40
,1,0
,13,0
,6,12
,61,40
,153,121
,14,122
,0,40
,84,0
,91,23
,17,191
,3,49
,100,0
,96,0
,36,0
,116,65
,40,0
,63,30
,80,0
,0,14
,14,0
,53,2
,0,50
,39,0
,0,0
,131,65
,52,12
,174,173
,0,43
,188,113
,0,9
,12,17
,146,12
,27,22
,31,24
,77,26
,41,0
,32,0
,0,1
,8,0
,200,124
,30,42
,40,25
,16,2
,82,3
,139,166
,20,76
,162,0
,123,0
,14,79
,203,4
,26,27
,35,23
,18,70
,0,22
,13,6
,86,195
,0,0
,2,4
,1,166
,21,0
,14,31
,113,0
,0,0
,0,113
,7,5
,0,20
,12,39
,72,0
,34,29
,106,12
,12,0
,12,0
,52,58
,6,14
,20,77
,121,0
,1,2
,112,59
,133,7
,17,0
,0,0
,86,2
,19,0
,0,6
,0,0
,0,2
,19,0
,15,28
,5,112
,30,0
,31,56
,7,86
,8,13
,90,23
,99,0
,0,134
,27,108
,6,6
,36,5
,0,2
,0,1
,130,9
,80,20
,8,19
,0,34
,2,122
,76,18
,45,0
,7,7
,123,0
,0,0
,9,0
