Both handed,Left handed,Right handed
185,175,170
185,175,182
192,185,150
193,185,205
172,175,200
170,200,180
180,183,195
175,215,195
170,190,170
210,195,180
164,220,190
180,175,190
185,180,190
175,190,175
185,180,195
160,195,180
170,165,170
195,205,215
175,200,176
190,195,190
185,185,170
180,228,192
180,180,195
170,160,185
164,192,175
180,195,197
165,185,185
165,190,215
200,180,200
200,175,190
175,170,185
190,189,210
175,170,187
190,197,170
175,215,200
185,175,210
190,198,180
160,175,185
160,180,195
170,160,185
185,220,205
165,165,180
155,170,185
195,173,200
204,175,157
170,188,217
180,175,155
195,170,175
189,175,185
155,185,190
195,170,223
150,180,190
170,175,175
155,205,165
195,170,205
200,170,175
212,190,190
180,170,180
140,165,175
160,180,160
160,185,185
160,205,160
161,210,165
190,195,165
185,180,175
190,182,165
175,180,180
160,195,190
173,185,172
180,182,170
180,185,165
175,180,210
170,175,160
175,175,210
180,170,175
169,160,180
160,200,175
170,220,176
193,185,190
175,170,205
160,180,230
180,170,155
160,165,188
165,200,185
180,197,150
180,185,205
160,180,205
180,160,185
185,190,195
170,193,190
185,185,180
184,210,180
170,180,190
195,175,160
183,176,170
165,180,190
175,185,185
190,170,196
188,190,180
185,175,190
160,160,185
169,198,205
190,185,175
195,175,160
,195,185
,205,190
,190,175
,186,155
,205,185
,175,170
,200,185
,175,175
,190,195
,160,185
,215,170
,215,170
,180,205
,185,180
,197,195
,175,180
,200,205
,195,195
,195,170
,165,180
,190,175
,195,160
,195,180
,175,215
,220,175
,165,180
,185,205
,170,215
,195,195
,173,187
,150,182
,175,170
,195,200
,190,185
,195,180
,205,175
,190,180
,188,185
,165,178
,180,190
,185,190
,185,180
,185,185
,185,185
,200,185
,193,180
,170,178
,175,190
,195,175
,200,180
,160,190
,165,170
,180,185
,195,180
,185,170
,160,175
,205,155
,185,178
,175,189
,182,195
,190,195
,190,190
,195,165
,180,205
,185,180
,180,170
,195,190
,175,150
,190,190
,165,195
,205,180
,175,175
,170,185
,200,180
,165,170
,160,193
,175,215
,205,210
,185,215
,205,195
,195,190
,205,165
,195,170
,150,186
,220,203
,170,185
,205,165
,180,185
,160,225
,195,215
,180,170
,180,195
,180,160
,170,175
,175,175
,175,175
,160,210
,195,170
,180,195
,175,177
,185,185
,180,210
,180,155
,200,155
,185,165
,175,175
,160,185
,180,170
,180,215
,190,185
,170,195
,190,200
,180,210
,180,168
,175,197
,195,191
,194,162
,185,190
,190,197
,160,175
,180,170
,190,200
,195,185
,195,180
,188,200
,175,190
,190,175
,185,178
,180,175
,170,185
,209,177
,185,200
,195,200
,186,175
,220,190
,180,187
,170,183
,180,195
,190,205
,230,185
,190,180
,187,165
,200,160
,190,165
,192,190
,175,165
,185,175
,195,195
,185,193
,205,167
,196,155
,175,190
,165,175
,170,210
,190,175
,185,190
,180,190
,210,204
,220,210
,180,215
,195,162
,190,170
,200,193
,195,190
,175,170
,188,175
,210,150
,180,185
,195,187
,170,190
,185,200
,205,170
,195,190
,180,205
,180,195
,185,195
,196,185
,180,180
,170,180
,200,180
,173,185
,160,170
,195,180
,175,165
,168,170
,200,160
,170,190
,180,178
,185,195
,185,175
,230,210
,200,225
,195,165
,165,190
,210,205
,210,205
,150,170
,205,190
,174,195
,180,179
,165,190
,178,212
,198,187
,196,178
,183,185
,210,185
,175,190
,175,170
,175,195
,165,190
,180,185
,180,205
,,170
,,160
,,200
,,170
,,190
,,195
,,165
,,180
,,165
,,170
,,170
,,190
,,180
,,160
,,195
,,200
,,195
,,180
,,210
,,185
,,165
,,200
,,187
,,160
,,190
,,190
,,185
,,195
,,190
,,215
,,209
,,195
,,195
,,175
,,180
,,170
,,195
,,160
,,165
,,175
,,165
,,192
,,172
,,192
,,190
,,195
,,210
,,185
,,205
,,205
,,183
,,195
,,190
,,175
,,205
,,200
,,195
,,215
,,190
,,180
,,215
,,185
,,200
,,180
,,220
,,215
,,169
,,180
,,192
,,154
,,175
,,190
,,200
,,185
,,162
,,220
,,190
,,168
,,210
,,170
,,170
,,175
,,215
,,170
,,195
,,195
,,195
,,165
,,190
,,195
,,195
,,170
,,180
,,180
,,180
,,180
,,180
,,154
,,175
,,210
,,215
,,185
,,180
,,170
,,200
,,170
,,190
,,165
,,185
,,180
,,195
,,190
,,185
,,190
,,170
,,178
,,195
,,200
,,175
,,190
,,190
,,205
,,165
,,170
,,175
,,222
,,190
,,155
,,205
,,185
,,160
,,208
,,165
,,175
,,170
,,155
,,190
,,160
,,165
,,165
,,190
,,160
,,180
,,205
,,185
,,155
,,185
,,200
,,190
,,190
,,190
,,185
,,164
