Both handed,Left handed,Right handed
0.159,0.263,0.0
0.0,0.25,0.13
0.303,0.0,0.275
0.0,0.241,0.193
0.266,0.0,0.25
0.11,0.248,0.241
0.0,0.246,0.0
0.212,0.0,0.0
0.243,0.253,0.256
0.282,0.0,0.195
0.249,0.0,0.225
0.21,0.239,0.262
0.216,0.259,0.0
0.272,0.0,0.286
0.0,0.248,0.223
0.242,0.262,0.225
0.24,0.274,0.231
0.229,0.255,0.224
0.0,0.0,0.244
0.229,0.279,0.226
0.23,0.225,0.277
0.251,0.256,0.252
0.257,0.252,0.111
0.256,0.0,0.22
0.253,0.0,0.254
0.236,0.0,0.138
0.237,0.263,0.0
0.237,0.235,0.136
0.0,0.249,0.241
0.234,0.283,0.183
0.251,0.293,0.0
0.0,0.227,0.236
0.231,0.248,0.264
0.245,0.268,0.224
0.0,0.0,0.0
0.257,0.277,0.0
0.0,0.223,0.219
0.236,0.255,0.0
0.249,0.0,0.0
0.29,0.287,0.255
0.261,0.0,0.0
0.231,0.245,0.236
0.125,0.273,0.23
0.0,0.253,0.266
0.206,0.304,0.217
0.252,0.25,0.0
0.263,0.0,0.278
0.0,0.24,0.211
0.104,0.267,0.269
0.251,0.0,0.271
0.227,0.281,0.0
0.227,0.233,0.236
0.258,0.247,0.216
0.26,0.261,0.27
0.0,0.243,0.119
0.0,0.278,0.233
0.114,0.0,0.252
0.25,0.286,0.261
0.245,0.0,0.257
0.265,0.23,0.232
0.264,0.272,0.26
0.236,0.0,0.233
0.254,0.233,0.18
0.234,0.0,0.255
0.265,0.25,0.0
0.267,0.235,0.246
0.233,0.196,0.0
0.205,0.194,0.0
0.255,0.203,0.0
0.245,0.248,0.251
0.238,0.277,0.175
0.257,0.229,0.0
0.127,0.22,0.0
0.236,0.232,0.0
0.245,0.284,0.229
0.257,0.205,0.238
0.245,0.0,0.251
0.277,0.0,0.207
0.285,0.229,0.248
0.0,0.328,0.216
0.219,0.257,0.0
0.244,0.0,0.248
0.259,0.258,0.0
0.237,0.216,0.242
0.267,0.281,0.0
0.287,0.283,0.0
0.271,0.248,0.0
0.259,0.0,0.251
0.245,0.293,0.0
0.228,0.264,0.227
0.274,0.246,0.244
0.274,0.255,0.212
0.25,0.26,0.256
0.247,0.0,0.263
0.229,0.247,0.195
0.217,0.248,0.0
0.268,0.24,0.27
0.255,0.254,0.243
0.217,0.279,0.243
0.289,0.264,0.277
0.241,0.265,0.278
0.24,0.268,0.223
0.232,0.0,0.0
0.0,0.256,0.249
,0.303,0.156
,0.0,0.235
,0.263,0.255
,0.22,0.267
,0.273,0.264
,0.242,0.226
,0.241,0.269
,0.239,0.127
,0.278,0.238
,0.238,0.133
,0.0,0.283
,0.253,0.247
,0.195,0.0
,0.254,0.0
,0.239,0.215
,0.259,0.256
,0.167,0.247
,0.236,0.238
,0.137,0.236
,0.295,0.0
,0.267,0.279
,0.201,0.239
,0.0,0.29
,0.285,0.239
,0.257,0.0
,0.268,0.0
,0.244,0.0
,0.243,0.246
,0.282,0.0
,0.264,0.221
,0.279,0.0
,0.253,0.232
,0.239,0.0
,0.299,0.229
,0.24,0.225
,0.0,0.138
,0.264,0.0
,0.242,0.247
,0.0,0.221
,0.248,0.243
,0.0,0.215
,0.249,0.264
,0.253,0.22
,0.289,0.25
,0.0,0.269
,0.247,0.274
,0.223,0.245
,0.27,0.221
,0.25,0.252
,0.257,0.0
,0.307,0.0
,0.26,0.215
,0.235,0.0
,0.259,0.237
,0.0,0.234
,0.256,0.251
,0.249,0.255
,0.226,0.228
,0.247,0.258
,0.246,0.254
,0.224,0.236
,0.253,0.0
,0.221,0.219
,0.296,0.232
,0.262,0.216
,0.276,0.241
,0.276,0.258
,0.29,0.244
,0.271,0.245
,0.271,0.278
,0.0,0.197
,0.227,0.264
,0.265,0.281
,0.0,0.0
,0.261,0.215
,0.273,0.273
,0.271,0.0
,0.211,0.262
,0.264,0.0
,0.26,0.0
,0.0,0.292
,0.0,0.226
,0.262,0.228
,0.251,0.273
,0.0,0.0
,0.265,0.229
,0.266,0.208
,0.28,0.0
,0.271,0.0
,0.255,0.248
,0.216,0.241
,0.229,0.244
,0.271,0.0
,0.238,0.22
,0.272,0.247
,0.254,0.25
,0.26,0.0
,0.237,0.134
,0.252,0.237
,0.259,0.0
,0.0,0.211
,0.253,0.0
,0.265,0.224
,0.0,0.235
,0.0,0.233
,0.0,0.26
,0.227,0.0
,0.266,0.236
,0.191,0.282
,0.234,0.243
,0.258,0.258
,0.201,0.261
,0.264,0.0
,0.247,0.25
,0.278,0.27
,0.0,0.213
,0.227,0.214
,0.241,0.263
,0.263,0.138
,0.277,0.257
,0.0,0.25
,0.0,0.224
,0.278,0.221
,0.29,0.279
,0.258,0.25
,0.0,0.235
,0.154,0.0
,0.264,0.16
,0.257,0.0
,0.23,0.0
,0.239,0.0
,0.0,0.17
,0.243,0.287
,0.251,0.252
,0.271,0.26
,0.258,0.161
,0.247,0.248
,0.311,0.199
,0.261,0.239
,0.266,0.0
,0.0,0.26
,0.267,0.277
,0.214,0.254
,0.259,0.262
,0.0,0.0
,0.0,0.238
,0.258,0.163
,0.115,0.222
,0.238,0.205
,0.0,0.253
,0.261,0.0
,0.0,0.228
,0.212,0.22
,0.25,0.0
,0.274,0.0
,0.306,0.26
,0.271,0.256
,0.253,0.216
,0.242,0.229
,0.0,0.287
,0.0,0.235
,0.233,0.208
,0.274,0.296
,0.229,0.28
,0.235,0.277
,0.282,0.0
,0.201,0.274
,0.258,0.199
,0.293,0.265
,0.275,0.258
,0.26,0.259
,0.255,0.27
,0.257,0.233
,0.237,0.165
,0.237,0.261
,0.265,0.245
,0.25,0.235
,0.279,0.251
,0.237,0.259
,0.0,0.263
,0.215,0.0
,0.27,0.225
,0.238,0.236
,0.22,0.24
,0.253,0.218
,0.224,0.23
,0.259,0.214
,0.268,0.132
,0.246,0.227
,0.248,0.0
,0.244,0.123
,0.261,0.0
,0.243,0.235
,0.298,0.248
,0.0,0.236
,0.265,0.0
,0.245,0.251
,0.0,0.265
,0.224,0.247
,0.251,0.251
,0.257,0.213
,0.255,0.225
,0.266,0.287
,0.201,0.0
,0.0,0.0
,0.0,0.165
,0.268,0.0
,0.254,0.218
,0.269,0.0
,0.275,0.28
,0.0,0.234
,0.256,0.0
,,0.245
,,0.255
,,0.253
,,0.267
,,0.251
,,0.223
,,0.248
,,0.0
,,0.246
,,0.0
,,0.0
,,0.229
,,0.243
,,0.0
,,0.0
,,0.268
,,0.0
,,0.231
,,0.225
,,0.27
,,0.216
,,0.156
,,0.24
,,0.274
,,0.0
,,0.234
,,0.225
,,0.258
,,0.239
,,0.258
,,0.274
,,0.255
,,0.277
,,0.241
,,0.0
,,0.205
,,0.244
,,0.239
,,0.228
,,0.285
,,0.249
,,0.214
,,0.279
,,0.294
,,0.0
,,0.0
,,0.192
,,0.238
,,0.269
,,0.0
,,0.278
,,0.218
,,0.212
,,0.0
,,0.131
,,0.28
,,0.0
,,0.249
,,0.0
,,0.0
,,0.229
,,0.0
,,0.066
,,0.24
,,0.25
,,0.238
,,0.25
,,0.279
,,0.245
,,0.25
,,0.0
,,0.0
,,0.244
,,0.17
,,0.242
,,0.276
,,0.0
,,0.233
,,0.268
,,0.236
,,0.0
,,0.272
,,0.247
,,0.258
,,0.265
,,0.0
,,0.253
,,0.249
,,0.272
,,0.154
,,0.251
,,0.267
,,0.265
,,0.238
,,0.237
,,0.239
,,0.0
,,0.24
,,0.0
,,0.0
,,0.256
,,0.0
,,0.199
,,0.239
,,0.0
,,0.0
,,0.2
,,0.254
,,0.271
,,0.266
,,0.219
,,0.0
,,0.0
,,0.0
,,0.226
,,0.271
,,0.276
,,0.136
,,0.233
,,0.0
,,0.274
,,0.0
,,0.0
,,0.236
,,0.26
,,0.168
,,0.279
,,0.0
,,0.288
,,0.0
,,0.236
,,0.0
,,0.244
,,0.249
,,0.237
,,0.257
,,0.0
,,0.245
,,0.172
,,0.222
,,0.0
,,0.226
,,0.213
,,0.282
,,0.0
,,0.251
,,0.204
,,0.0
,,0.0
,,0.273
,,0.0
,,0.281
,,0.213
,,0.267
,,0.236
,,0.0
,,0.0
,,0.248
,,0.223
,,0.236
,,0.228
,,0.25
,,0.244
,,0.252
,,0.227
,,0.0
,,0.255
,,0.257
,,0.23
,,0.213
,,0.0
,,0.241
,,0.305
,,0.254
,,0.273
,,0.0
,,0.0
,,0.0
,,0.266
,,0.233
,,0.0
,,0.229
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.267
,,0.221
,,0.214
,,0.213
,,0.22
,,0.0
,,0.146
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.285
,,0.0
,,0.235
,,0.304
,,0.215
,,0.0
,,0.0
,,0.259
,,0.278
,,0.261
,,0.236
,,0.247
,,0.0
,,0.0
,,0.236
,,0.22
,,0.2
,,0.247
,,0.257
,,0.247
,,0.299
,,0.0
,,0.283
