Both handed,Left handed,Right handed
72,71,73
75,69,73
71,73,70
74,71,74
69,73,72
73,74,73
74,72,74
70,77,75
72,73,69
76,75,73
72,77,70
71,71,72
72,74,73
71,72,73
73,72,72
69,75,71
73,70,72
73,72,74
70,75,72
72,73,74
74,73,69
72,79,75
74,74,76
69,73,71
70,75,71
72,74,74
72,74,73
70,70,76
74,73,74
73,69,75
71,71,74
74,73,78
72,72,71
74,73,72
71,78,76
73,72,75
73,73,70
71,71,76
72,75,73
71,70,71
71,75,76
72,70,72
68,70,73
73,71,74
73,73,71
73,71,78
73,72,69
75,72,72
72,73,70
71,72,70
72,68,76
69,72,74
70,72,72
70,75,66
74,71,74
74,70,72
78,73,72
71,69,71
69,70,73
72,72,69
67,73,72
72,77,70
72,74,72
73,72,71
74,72,72
72,74,70
72,68,73
71,75,76
72,74,76
73,72,72
72,73,71
70,72,77
72,74,70
73,72,76
71,72,70
70,71,71
70,78,72
69,77,76
71,72,75
72,72,74
72,73,79
71,69,68
74,72,71
69,76,72
73,73,72
72,73,75
70,72,77
73,70,73
74,72,76
71,75,72
72,72,73
72,72,72
74,75,75
74,71,70
74,71,71
71,71,76
71,73,73
73,71,69
74,74,73
74,70,72
69,71,71
72,72,75
74,71,75
75,73,70
,72,73
,76,73
,72,72
,72,74
,74,71
,75,72
,72,72
,72,71
,72,75
,71,73
,80,71
,75,69
,72,75
,73,71
,74,74
,74,72
,77,75
,73,74
,75,72
,70,70
,75,74
,74,70
,74,71
,71,75
,71,73
,70,74
,72,76
,70,75
,75,76
,71,72
,67,71
,72,73
,72,77
,74,72
,73,76
,76,74
,72,74
,73,73
,69,70
,73,74
,73,74
,72,73
,75,73
,72,71
,77,72
,72,73
,73,70
,71,72
,74,70
,74,75
,69,76
,70,75
,73,71
,75,70
,74,73
,69,71
,75,72
,71,72
,71,74
,73,72
,75,74
,73,76
,74,70
,72,76
,72,72
,72,69
,73,72
,72,69
,75,72
,73,75
,77,72
,72,72
,71,74
,76,73
,71,71
,74,74
,72,76
,75,75
,72,74
,75,73
,73,71
,76,69
,72,73
,69,72
,77,75
,68,70
,74,71
,73,75
,67,78
,74,72
,71,71
,72,73
,70,72
,72,76
,75,73
,72,72
,70,78
,74,72
,73,72
,73,70
,73,75
,71,76
,72,68
,77,69
,73,70
,77,71
,74,73
,73,73
,71,76
,74,74
,70,73
,74,73
,72,76
,72,72
,75,73
,74,71
,72,69
,74,75
,74,75
,71,74
,72,70
,77,72
,72,71
,72,73
,70,75
,74,72
,77,74
,73,73
,69,74
,68,74
,73,71
,75,73
,73,73
,70,70
,75,73
,72,73
,71,72
,73,71
,73,75
,76,71
,74,72
,71,71
,73,70
,70,70
,74,75
,71,71
,74,74
,72,72
,70,73
,73,68
,74,71
,75,72
,69,70
,70,77
,73,71
,71,74
,70,72
,76,76
,76,76
,72,74
,76,71
,72,70
,71,72
,70,74
,70,76
,74,72
,76,71
,73,72
,73,70
,72,72
,71,72
,74,72
,76,72
,71,77
,73,73
,74,75
,72,75
,74,73
,73,70
,73,72
,73,75
,70,71
,71,74
,73,72
,73,72
,74,69
,72,74
,73,72
,73,73
,74,72
,75,73
,76,78
,72,70
,74,72
,77,75
,76,75
,70,72
,74,75
,71,74
,70,72
,71,72
,70,75
,70,71
,76,70
,72,74
,77,72
,70,75
,73,72
,72,77
,69,74
,74,74
,72,76
,,68
,,72
,,74
,,70
,,74
,,76
,,68
,,72
,,73
,,71
,,77
,,75
,,73
,,74
,,74
,,74
,,75
,,73
,,74
,,73
,,70
,,72
,,72
,,71
,,75
,,74
,,71
,,75
,,72
,,76
,,76
,,73
,,73
,,73
,,71
,,70
,,74
,,66
,,73
,,75
,,70
,,72
,,71
,,70
,,73
,,73
,,72
,,70
,,75
,,75
,,74
,,73
,,73
,,73
,,76
,,74
,,75
,,75
,,75
,,75
,,76
,,75
,,75
,,70
,,77
,,74
,,70
,,73
,,76
,,70
,,72
,,75
,,74
,,75
,,70
,,73
,,76
,,70
,,75
,,71
,,74
,,70
,,75
,,71
,,74
,,74
,,76
,,72
,,75
,,73
,,73
,,70
,,72
,,73
,,72
,,71
,,75
,,70
,,73
,,76
,,74
,,72
,,72
,,73
,,74
,,72
,,73
,,71
,,73
,,74
,,73
,,73
,,76
,,73
,,71
,,73
,,74
,,77
,,72
,,74
,,75
,,77
,,73
,,72
,,71
,,80
,,72
,,70
,,72
,,71
,,71
,,75
,,71
,,71
,,72
,,70
,,74
,,72
,,72
,,74
,,73
,,70
,,73
,,74
,,71
,,70
,,74
,,71
,,71
,,72
,,74
,,72
